player,skill_mean,skill_lo89,skill_hi89
drnykterstein,1.740532537023668,1.0729866330715376,2.4346282790563447
kontrajako,1.2352068062290018,0.24737653642643437,2.2492259073942074
feokl1995,1.1620088047555177,0.23038721242329216,2.049331984109574
anishgiri,1.0165887857924139,0.03346155515384112,2.0041273917425255
chesstoday,0.6515213985744058,-0.5707700942739781,1.861094893285947
alireza2003,0.36802707986397043,-0.35470703134922726,1.0701182513947325
kostik_mostik,0.3183954827291665,-0.9179216309114101,1.5272642236388103
dr_xstranger,0.24047260100737403,-0.9342215670440126,1.3570809700354445
nihalsarin2004,0.17718590122381492,-0.6018354199396074,0.9700972651306108
tamojerry,0.103826182814238,-0.8378700782703098,1.1211800605257167
riquelme93,0.0823533579491688,-0.9842641127189262,1.1347284490404672
angelitort,0.016297548844834822,-1.0217758080492456,1.0011738090151245
zhigalko_sergei,0.014855537766349746,-0.7972769115227515,0.8609985785989861
meneermandje,-0.06561092490873913,-1.2916061170864241,1.1935368619187812
rebeccaharris,-0.1258025297488849,-1.3213996645691908,1.0466803924756993
rasulovvugar,-0.1431409118080898,-1.2703042143562413,0.9309376866335262
mitrabha,-0.31816254205105676,-1.4553267184777041,0.7687475835322544
ohanyaneminchess,-0.3361341422267216,-1.368872447941973,0.6751445102841528
chessmaster2006,-0.3499379092927901,-1.4475425505386743,0.7878202385586032
kyart2,-0.3831477039050882,-1.562574026807543,0.785205587249752
shant7777777,-0.5524837514186374,-1.6872766819041078,0.5221483857784378
penguingim1,-0.5782726661472898,-1.3466846593127975,0.21969158603952438
vahe_s,-0.625787187507416,-1.8465174697607807,0.5792957812864108
vladimirovich9000,-0.7305738121537755,-1.9227627317872662,0.3880519688569271
may6enexttime,-0.8564259146916503,-2.127378598146585,0.3197986945903717
night-king96,-0.8658996024324623,-1.8823021273290905,0.1913815664694423
hitter1999,-1.1452585755955447,-2.4050964044549046,0.05222687501281732
